id,japanese,english,latin,category,region,testSet,explanation
coccyx,尾骨,coccyx,os coccygis,bone,pelvis,osteology_basic,尾骨は脊柱の最下部に位置する小骨である。
calcaneus,踵骨,calcaneus,calcaneus,bone,lower limb,basic_lower,踵骨は足根骨の一つで、かかとの骨格を作ります。
talus,距骨,talus,talus,bone,lower limb,basic_lower|osteology_basic,距骨は下腿骨と踵骨・舟状骨の間に位置し、足関節を構成する足根骨です。
medial_cuneiform_bone,内側楔状骨,medial cuneiform bone,os cuneiforme mediale,bone,lower limb,basic_lower|osteology_basic,内側楔状骨は足根骨遠位列の最内側にあり、舟状骨と第1中足骨の間に位置します。
proximal_phalanx_of_foot,基節骨,proximal phalanx of foot,phalanx proximalis pedis,bone,lower limb,basic_lower|osteology_basic,足の基節骨は中足骨に続く足趾の最も近位の趾骨です。
middle_phalanx_of_foot,中節骨,middle phalanx of foot,phalanx media pedis,bone,lower limb,basic_lower|osteology_basic,足の中節骨は第2趾から第5趾で基節骨と末節骨の間に位置します。
distal_phalanx_of_foot,末節骨,distal phalanx of foot,phalanx distalis pedis,bone,lower limb,basic_lower|osteology_basic,足の末節骨は足趾の先端を構成する最も遠位の趾骨です。
diaphragm,横隔膜,diaphragm,diaphragma,muscle,trunk,basic_trunk,横隔膜は胸腔と腹腔を隔てる呼吸筋です。
biceps_brachii,上腕二頭筋,biceps brachii,musculus biceps brachii,muscle,upper limb,basic_muscle,上腕二頭筋は肘関節屈曲と前腕回外に関わります。
triceps_brachii,上腕三頭筋,triceps brachii,musculus triceps brachii,muscle,upper limb,basic_muscle,上腕三頭筋は主に肘関節伸展に働きます。
deltoid,三角筋,deltoid,musculus deltoideus,muscle,upper limb,basic_muscle,三角筋は肩関節の外転を中心に、屈曲や伸展にも関わります。
trapezius,僧帽筋,trapezius,musculus trapezius,muscle,back,basic_muscle,僧帽筋は肩甲骨の挙上、内転、回旋に関わる背部の筋です。
frontal_bone,前頭骨,frontal bone,os frontale,bone,head and neck,osteology_basic,前頭骨は額と眼窩上部を構成する頭蓋骨です。
ethmoid_bone,篩骨,ethmoid bone,os ethmoidale,bone,head and neck,osteology_basic,篩骨は鼻腔上部と眼窩内側壁の一部を構成する頭蓋骨です。
sphenoid_bone,蝶形骨,sphenoid bone,os sphenoidale,bone,head and neck,osteology_basic,蝶形骨は頭蓋底中央に位置し、多くの頭蓋骨と連結する骨です。
parietal_bone,頭頂骨,parietal bone,os parietale,bone,head and neck,osteology_basic,頭頂骨は頭蓋冠の側上部を構成する骨です。
occipital_bone,後頭骨,occipital bone,os occipitale,bone,head and neck,osteology_basic,後頭骨は頭蓋後下部を構成し、大後頭孔を含む骨です。
nasal_bone,鼻骨,nasal bone,os nasale,bone,head and neck,osteology_basic,鼻骨は鼻背の骨性部分を構成する小骨です。
zygomatic_bone,頬骨,zygomatic bone,os zygomaticum,bone,head and neck,osteology_basic,頬骨は頬の突出を作り、眼窩外側壁の一部を構成します。
lacrimal_bone,涙骨,lacrimal bone,os lacrimale,bone,head and neck,osteology_basic,涙骨は眼窩内側壁前方に位置する小さな骨です。
pisiform,豆状骨,pisiform,os pisiforme,bone,upper limb,osteology_basic,豆状骨は手根骨の一つで、尺側近位に位置する小さな骨です。
triquetral_bone,三角骨,triquetral bone,os triquetrum,bone,upper limb,osteology_basic,三角骨は手根骨近位列の尺側に位置する骨です。
lunate_bone,月状骨,lunate bone,os lunatum,bone,upper limb,osteology_basic,月状骨は手根骨近位列中央に位置する骨です。
scaphoid_bone,舟状骨,scaphoid bone,os scaphoideum,bone,upper limb,osteology_basic,舟状骨は手根骨近位列橈側に位置する骨です。
trapezium_bone,大菱形骨,trapezium,os trapezium,bone,upper limb,osteology_basic,大菱形骨は母指側の遠位手根骨で、第1中手骨と関節します。
trapezoid_bone,小菱形骨,trapezoid bone,os trapezoideum,bone,upper limb,osteology_basic,小菱形骨は遠位手根骨の一つで、大菱形骨と有頭骨の間に位置します。
capitate_bone,有頭骨,capitate bone,os capitatum,bone,upper limb,osteology_basic,有頭骨は手根骨の中央に位置する大きな骨です。
hamate_bone,有鈎骨,hamate bone,os hamatum,bone,upper limb,osteology_basic,有鈎骨は遠位手根骨の尺側に位置し、有鈎骨鈎を持つ骨です。
metacarpal_bone,中手骨,metacarpal bone,os metacarpale,bone,upper limb,osteology_basic,中手骨は手掌部を構成し、手根骨と指骨をつなぐ骨です。
proximal_phalanx,基節骨,proximal phalanx,phalanx proximalis,bone,upper limb,osteology_basic,基節骨は指骨のうち最も近位にある骨です。
middle_phalanx,中節骨,middle phalanx,phalanx media,bone,upper limb,osteology_basic,中節骨は第2から第5指で基節骨と末節骨の間にある骨です。
distal_phalanx,末節骨,distal phalanx,phalanx distalis,bone,upper limb,osteology_basic,末節骨は指先を構成する遠位の指骨です。
vomer,鋤骨,vomer,vomer,bone,head and neck,osteology_basic,鋤骨は鼻中隔の後下部を構成する薄い骨です。
pubic_symphysis,恥骨結合,pubic symphysis,symphysis pubica,joint,pelvis,osteology_basic,恥骨結合は左右の恥骨の間にある線維軟骨性の結合で、骨盤前方の正中部を構成する。
ilium,腸骨,ilium,os ilium,bone,pelvis,osteology_basic,腸骨は寛骨の上部を構成する大きな骨で、腸骨稜などを形成する。
ischium,坐骨,ischium,os ischii,bone,pelvis,osteology_basic,坐骨は寛骨の後下部を構成する骨で、坐骨結節などを形成する。
pubis,恥骨,pubis,os pubis,bone,pelvis,osteology_basic,恥骨は寛骨の前下部を構成する骨で、左右の恥骨は恥骨結合で連結する。
phalanges_of_foot,趾骨,phalanges of foot,phalanges pedis,bone,lower limb,basic_lower,趾骨は、英語の「phalanges of foot」に対応する解剖学用語です。
first_metatarsal_bone,第1中足骨,first metatarsal bone,os metatarsale I,bone,lower limb,basic_lower,第1中足骨は、英語の「first metatarsal bone」に対応する解剖学用語です。
subtalar_joint,距骨下関節,subtalar joint,articulatio subtalaris,joint,lower limb,basic_lower,距骨下関節は、英語の「subtalar joint」に対応する解剖学用語です。
sustentaculum_tali,載距突起,sustentaculum tali,sustentaculum tali,bone,lower limb,basic_lower,載距突起は、英語の「sustentaculum tali」に対応する解剖学用語です。
fifth_metatarsal_bone,第5中足骨,fifth metatarsal bone,os metatarsale V,bone,lower limb,basic_lower,第5中足骨は、英語の「fifth metatarsal bone」に対応する解剖学用語です。
brachial_artery,上腕動脈,brachial artery,arteria brachialis,artery,upper limb,basic_upper,上腕動脈は、英語の「brachial artery」に対応する解剖学用語です。
deep_brachial_artery,上腕深動脈,deep brachial artery,arteria profunda brachii,artery,upper limb,basic_upper,上腕深動脈は、英語の「deep brachial artery」に対応する解剖学用語です。
superior_ulnar_collateral_artery,上尺側側副動脈,superior ulnar collateral artery,arteria collateralis ulnaris superior,artery,upper limb,basic_upper,上尺側側副動脈は、英語の「superior ulnar collateral artery」に対応する解剖学用語です。
inferior_ulnar_collateral_artery,下尺側側副動脈,inferior ulnar collateral artery,arteria collateralis ulnaris inferior,artery,upper limb,basic_upper,下尺側側副動脈は、英語の「inferior ulnar collateral artery」に対応する解剖学用語です。
radial_artery,橈骨動脈,radial artery,arteria radialis,artery,upper limb,basic_upper,橈骨動脈は、英語の「radial artery」に対応する解剖学用語です。
ulnar_artery,尺骨動脈,ulnar artery,arteria ulnaris,artery,upper limb,basic_upper,尺骨動脈は、英語の「ulnar artery」に対応する解剖学用語です。
radial_recurrent_artery,橈骨反回動脈,radial recurrent artery,arteria recurrens radialis,artery,upper limb,basic_upper,橈骨反回動脈は、英語の「radial recurrent artery」に対応する解剖学用語です。
ulnar_recurrent_artery,尺骨反回動脈,ulnar recurrent artery,arteria recurrens ulnaris,artery,upper limb,basic_upper,尺骨反回動脈は、英語の「ulnar recurrent artery」に対応する解剖学用語です。
superior_frontal_gyrus,上前頭回,superior frontal gyrus,gyrus frontalis superior,brain,head and neck,basic_head,上前頭回は、英語の「superior frontal gyrus」に対応する解剖学用語です。
middle_frontal_gyrus,中前頭回,middle frontal gyrus,gyrus frontalis medius,brain,head and neck,basic_head,中前頭回は、英語の「middle frontal gyrus」に対応する解剖学用語です。
inferior_frontal_gyrus,下前頭回,inferior frontal gyrus,gyrus frontalis inferior,brain,head and neck,basic_head,下前頭回は、英語の「inferior frontal gyrus」に対応する解剖学用語です。
precentral_gyrus,中心前回,precentral gyrus,gyrus precentralis,brain,head and neck,basic_head,中心前回は、英語の「precentral gyrus」に対応する解剖学用語です。
postcentral_gyrus,中心後回,postcentral gyrus,gyrus postcentralis,brain,head and neck,basic_head,中心後回は、英語の「postcentral gyrus」に対応する解剖学用語です。
superior_parietal_lobule,上頭頂小葉,superior parietal lobule,lobulus parietalis superior,brain,head and neck,basic_head,上頭頂小葉は、英語の「superior parietal lobule」に対応する解剖学用語です。
inferior_parietal_lobule,下頭頂小葉,inferior parietal lobule,lobulus parietalis inferior,brain,head and neck,basic_head,下頭頂小葉は、英語の「inferior parietal lobule」に対応する解剖学用語です。
superior_temporal_gyrus,上側頭回,superior temporal gyrus,gyrus temporalis superior,brain,head and neck,basic_head,上側頭回は、英語の「superior temporal gyrus」に対応する解剖学用語です。
middle_temporal_gyrus,中側頭回,middle temporal gyrus,gyrus temporalis medius,brain,head and neck,basic_head,中側頭回は、英語の「middle temporal gyrus」に対応する解剖学用語です。
inferior_temporal_gyrus,下側頭回,inferior temporal gyrus,gyrus temporalis inferior,brain,head and neck,basic_head,下側頭回は、英語の「inferior temporal gyrus」に対応する解剖学用語です。
ascending_aorta,上行大動脈,ascending aorta,aorta ascendens,artery,thorax,basic_trunk,上行大動脈は、英語の「ascending aorta」に対応する解剖学用語です。
aortic_arch,大動脈弓,aortic arch,arcus aortae,artery,thorax,basic_trunk,大動脈弓は、英語の「aortic arch」に対応する解剖学用語です。
pulmonary_trunk,肺動脈幹,pulmonary trunk,truncus pulmonalis,artery,thorax,basic_trunk,肺動脈幹は、英語の「pulmonary trunk」に対応する解剖学用語です。
right_pulmonary_artery,右肺動脈,right pulmonary artery,arteria pulmonalis dextra,artery,thorax,basic_trunk,右肺動脈は、英語の「right pulmonary artery」に対応する解剖学用語です。
left_pulmonary_artery,左肺動脈,left pulmonary artery,arteria pulmonalis sinistra,artery,thorax,basic_trunk,左肺動脈は、英語の「left pulmonary artery」に対応する解剖学用語です。
superior_vena_cava,上大静脈,superior vena cava,vena cava superior,vein,thorax,basic_trunk,上大静脈は、英語の「superior vena cava」に対応する解剖学用語です。
heart,心臓,heart,cor,heart,thorax,basic_trunk,心臓は、英語の「heart」に対応する解剖学用語です。
lung,肺,lung,pulmo,organ,thorax,basic_trunk,肺は、英語の「lung」に対応する解剖学用語です。
right_atrium,右心房,right atrium,atrium dextrum,heart,thorax,basic_trunk,右心房は、英語の「right atrium」に対応する解剖学用語です。
inferior_vena_cava,下大静脈,inferior vena cava,vena cava inferior,vein,abdomen,basic_trunk,下大静脈は、英語の「inferior vena cava」に対応する解剖学用語です。
coronary_sinus,冠状静脈洞,coronary sinus,sinus coronarius,vein,thorax,basic_trunk,冠状静脈洞は、英語の「coronary sinus」に対応する解剖学用語です。
fossa_ovalis,卵円窩,fossa ovalis,fossa ovalis atrii dextri,heart,thorax,basic_trunk,卵円窩は、英語の「fossa ovalis」に対応する解剖学用語です。
right_atrioventricular_orifice,右房室口,right atrioventricular orifice,ostium atrioventriculare dextrum,heart,thorax,basic_trunk,右房室口は、英語の「right atrioventricular orifice」に対応する解剖学用語です。
tricuspid_valve,三尖弁,tricuspid valve,valva tricuspidalis,heart,thorax,basic_trunk,三尖弁は、英語の「tricuspid valve」に対応する解剖学用語です。
right_coronary_artery,右冠状動脈,right coronary artery,arteria coronaria dextra,artery,thorax,basic_trunk,右冠状動脈は、英語の「right coronary artery」に対応する解剖学用語です。
left_coronary_artery,左冠状動脈,left coronary artery,arteria coronaria sinistra,artery,thorax,basic_trunk,左冠状動脈は、英語の「left coronary artery」に対応する解剖学用語です。
anterior_interventricular_branch,前室間枝,anterior interventricular branch,ramus interventricularis anterior,artery,thorax,basic_trunk,前室間枝は、英語の「anterior interventricular branch」に対応する解剖学用語です。
circumflex_branch,回旋枝,circumflex branch,ramus circumflexus,artery,thorax,basic_trunk,回旋枝は、英語の「circumflex branch」に対応する解剖学用語です。
right_marginal_branch,右縁枝,right marginal branch,ramus marginalis dexter,artery,thorax,basic_trunk,右縁枝は、英語の「right marginal branch」に対応する解剖学用語です。
posterior_interventricular_branch,後室間枝,posterior interventricular branch,ramus interventricularis posterior,artery,thorax,basic_trunk,後室間枝は、英語の「posterior interventricular branch」に対応する解剖学用語です。
coronary_sulcus,冠状溝,coronary sulcus,sulcus coronarius,heart,thorax,basic_trunk,冠状溝は、英語の「coronary sulcus」に対応する解剖学用語です。
apex_of_heart,心尖,apex of heart,apex cordis,heart,thorax,basic_trunk,心尖は、英語の「apex of heart」に対応する解剖学用語です。
brachiocephalic_trunk,腕頭動脈,brachiocephalic trunk,truncus brachiocephalicus,artery,thorax,basic_trunk,腕頭動脈は、英語の「brachiocephalic trunk」に対応する解剖学用語です。
common_carotid_artery,総頸動脈,common carotid artery,carotis communis,artery,head and neck,basic_head,総頸動脈は、英語の「common carotid artery」に対応する解剖学用語です。
subclavian_artery,鎖骨下動脈,subclavian artery,arteria subclavia,artery,upper limb,basic_upper,鎖骨下動脈は、英語の「subclavian artery」に対応する解剖学用語です。
pulmonary_artery,肺動脈,pulmonary artery,arteria pulmonalis,artery,thorax,basic_trunk,肺動脈は、英語の「pulmonary artery」に対応する解剖学用語です。
pulmonary_vein,肺静脈,pulmonary vein,vena pulmonalis,vein,thorax,basic_trunk,肺静脈は、英語の「pulmonary vein」に対応する解剖学用語です。
external_carotid_artery,外頸動脈,external carotid artery,carotis externa,artery,head and neck,basic_head,外頸動脈は、英語の「external carotid artery」に対応する解剖学用語です。
internal_carotid_artery,内頸動脈,internal carotid artery,carotis interna,artery,head and neck,basic_head,内頸動脈は、英語の「internal carotid artery」に対応する解剖学用語です。
vertebral_artery,椎骨動脈,vertebral artery,arteria vertebralis,artery,head and neck,basic_head,椎骨動脈は、英語の「vertebral artery」に対応する解剖学用語です。
thyroid_gland,甲状腺,thyroid gland,glandula thyreoidea,gland,head and neck,basic_head,甲状腺は、英語の「thyroid gland」に対応する解剖学用語です。
larynx,喉頭,larynx,larynx,organ,head and neck,basic_head,喉頭は、英語の「larynx」に対応する解剖学用語です。
superior_thyroid_artery,上甲状腺動脈,superior thyroid artery,arteria thyreoidea superior,artery,head and neck,basic_head,上甲状腺動脈は、英語の「superior thyroid artery」に対応する解剖学用語です。
lingual_artery,舌動脈,lingual artery,arteria lingualis,artery,head and neck,basic_head,舌動脈は、英語の「lingual artery」に対応する解剖学用語です。
facial_artery,顔面動脈,facial artery,arteria facialis,artery,head and neck,basic_head,顔面動脈は、英語の「facial artery」に対応する解剖学用語です。
occipital_artery,後頭動脈,occipital artery,arteria occipitalis,artery,head and neck,basic_head,後頭動脈は、英語の「occipital artery」に対応する解剖学用語です。
posterior_auricular_artery,後耳介動脈,posterior auricular artery,arteria auricularis posterior,artery,head and neck,basic_head,後耳介動脈は、英語の「posterior auricular artery」に対応する解剖学用語です。
maxillary_artery,顎動脈,maxillary artery,arteria maxillaris,artery,head and neck,basic_head,顎動脈は、英語の「maxillary artery」に対応する解剖学用語です。
superficial_temporal_artery,浅側頭動脈,superficial temporal artery,arteria temporalis superficialis,artery,head and neck,basic_head,浅側頭動脈は、英語の「superficial temporal artery」に対応する解剖学用語です。
middle_meningeal_artery,中硬膜動脈,middle meningeal artery,arteria meningea media,artery,head and neck,basic_head,中硬膜動脈は、英語の「middle meningeal artery」に対応する解剖学用語です。
inferior_alveolar_artery,下歯槽動脈,inferior alveolar artery,arteria alveolaris inferior,artery,head and neck,basic_head,下歯槽動脈は、英語の「inferior alveolar artery」に対応する解剖学用語です。
infraorbital_artery,眼窩下動脈,infraorbital artery,arteria infraorbitalis,artery,head and neck,basic_head,眼窩下動脈は、英語の「infraorbital artery」に対応する解剖学用語です。
sphenopalatine_artery,蝶口蓋動脈,sphenopalatine artery,arteria sphenopalatina,artery,head and neck,basic_head,蝶口蓋動脈は、英語の「sphenopalatine artery」に対応する解剖学用語です。
deep_temporal_artery,深側頭動脈,deep temporal artery,arteria temporalis profunda,artery,head and neck,basic_head,深側頭動脈は、英語の「deep temporal artery」に対応する解剖学用語です。
buccal_artery,頬動脈,buccal artery,arteria buccalis,artery,head and neck,basic_head,頬動脈は、英語の「buccal artery」に対応する解剖学用語です。
submandibular_gland,顎下腺,submandibular gland,glandula submandibularis,gland,head and neck,basic_head,顎下腺は、英語の「submandibular gland」に対応する解剖学用語です。
digastric_muscle,顎二腹筋,digastric muscle,musculus digastricus,muscle,head and neck,basic_muscle,顎二腹筋は、英語の「digastric muscle」に対応する解剖学用語です。
mylohyoid_muscle,顎舌骨筋,mylohyoid muscle,musculus mylohyoideus,muscle,head and neck,basic_muscle,顎舌骨筋は、英語の「mylohyoid muscle」に対応する解剖学用語です。
hyoglossus_muscle,舌骨舌筋,hyoglossus muscle,musculus hyoglossus,muscle,head and neck,basic_muscle,舌骨舌筋は、英語の「hyoglossus muscle」に対応する解剖学用語です。
submandibular_triangle,顎下三角,submandibular triangle,trigonum submandibulare,region,head and neck,basic_head,顎下三角は、英語の「submandibular triangle」に対応する解剖学用語です。
carotid_sinus,頸動脈洞,carotid sinus,sinus carotidis,artery,head and neck,basic_head,頸動脈洞は、英語の「carotid sinus」に対応する解剖学用語です。
pharynx,咽頭,pharynx,pharynx,organ,head and neck,basic_head,咽頭は、英語の「pharynx」に対応する解剖学用語です。
ophthalmic_artery,眼動脈,ophthalmic artery,arteria ophthalmica,artery,head and neck,basic_head,眼動脈は、英語の「ophthalmic artery」に対応する解剖学用語です。
central_retinal_artery,網膜中心動脈,central retinal artery,arteria centralis retinae,artery,head and neck,basic_head,網膜中心動脈は、英語の「central retinal artery」に対応する解剖学用語です。
lacrimal_artery,涙腺動脈,lacrimal artery,arteria lacrimalis,artery,head and neck,basic_head,涙腺動脈は、英語の「lacrimal artery」に対応する解剖学用語です。
supraorbital_artery,眼窩上動脈,supraorbital artery,arteria supraorbitalis,artery,head and neck,basic_head,眼窩上動脈は、英語の「supraorbital artery」に対応する解剖学用語です。
supratrochlear_artery,滑車上動脈,supratrochlear artery,arteria supratrochlearis,artery,head and neck,basic_head,滑車上動脈は、英語の「supratrochlear artery」に対応する解剖学用語です。
dorsal_nasal_artery,鼻背動脈,dorsal nasal artery,arteria dorsalis nasi,artery,head and neck,basic_head,鼻背動脈は、英語の「dorsal nasal artery」に対応する解剖学用語です。
anterior_ethmoidal_artery,前篩骨動脈,anterior ethmoidal artery,arteria ethmoidalis anterior,artery,head and neck,basic_head,前篩骨動脈は、英語の「anterior ethmoidal artery」に対応する解剖学用語です。
posterior_ethmoidal_artery,後篩骨動脈,posterior ethmoidal artery,arteria ethmoidalis posterior,artery,head and neck,basic_head,後篩骨動脈は、英語の「posterior ethmoidal artery」に対応する解剖学用語です。
basilar_artery,脳底動脈,basilar artery,arteria basilaris,artery,head and neck,basic_head,脳底動脈は、英語の「basilar artery」に対応する解剖学用語です。
anterior_cerebral_artery,前大脳動脈,anterior cerebral artery,arteria cerebri anterior,artery,head and neck,basic_head,前大脳動脈は、英語の「anterior cerebral artery」に対応する解剖学用語です。
middle_cerebral_artery,中大脳動脈,middle cerebral artery,arteria cerebri media,artery,head and neck,basic_head,中大脳動脈は、英語の「middle cerebral artery」に対応する解剖学用語です。
posterior_cerebral_artery,後大脳動脈,posterior cerebral artery,arteria cerebri posterior,artery,head and neck,basic_head,後大脳動脈は、英語の「posterior cerebral artery」に対応する解剖学用語です。
anterior_communicating_artery,前交通動脈,anterior communicating artery,arteria communicans anterior,artery,head and neck,basic_head,前交通動脈は、英語の「anterior communicating artery」に対応する解剖学用語です。
posterior_communicating_artery,後交通動脈,posterior communicating artery,arteria communicans posterior,artery,head and neck,basic_head,後交通動脈は、英語の「posterior communicating artery」に対応する解剖学用語です。
superior_cerebellar_artery,上小脳動脈,superior cerebellar artery,arteria cerebelli superior,artery,head and neck,basic_head,上小脳動脈は、英語の「superior cerebellar artery」に対応する解剖学用語です。
cingulate_gyrus,帯状回,cingulate gyrus,gyrus cinguli,brain,head and neck,basic_head,帯状回は、英語の「cingulate gyrus」に対応する解剖学用語です。
paracentral_lobule,中心傍小葉,paracentral lobule,lobulus paracentralis,brain,head and neck,basic_head,中心傍小葉は、英語の「paracentral lobule」に対応する解剖学用語です。
precuneus,楔前部,precuneus,precuneus,brain,head and neck,basic_head,楔前部は、英語の「precuneus」に対応する解剖学用語です。
cuneus,楔部,cuneus,cuneus,brain,head and neck,basic_head,楔部は、英語の「cuneus」に対応する解剖学用語です。
lingual_gyrus,舌状回,lingual gyrus,gyrus lingualis,brain,head and neck,basic_head,舌状回は、英語の「lingual gyrus」に対応する解剖学用語です。
parahippocampal_gyrus,海馬傍回,parahippocampal gyrus,gyrus parahippocampalis,brain,head and neck,basic_head,海馬傍回は、英語の「parahippocampal gyrus」に対応する解剖学用語です。
corpus_callosum,脳梁,corpus callosum,corpus callosum,brain,head and neck,basic_head,脳梁は、英語の「corpus callosum」に対応する解剖学用語です。
thyrocervical_trunk,甲状頸動脈幹,thyrocervical trunk,truncus thyrocervicalis,artery,head and neck,basic_head,甲状頸動脈幹は、英語の「thyrocervical trunk」に対応する解剖学用語です。
inferior_thyroid_artery,下甲状腺動脈,inferior thyroid artery,arteria thyreoidea inferior,artery,head and neck,basic_head,下甲状腺動脈は、英語の「inferior thyroid artery」に対応する解剖学用語です。
transverse_cervical_artery,頸横動脈,transverse cervical artery,arteria transversa cervicis,artery,head and neck,basic_head,頸横動脈は、英語の「transverse cervical artery」に対応する解剖学用語です。
suprascapular_artery,肩甲上動脈,suprascapular artery,arteria suprascapularis,artery,upper limb,basic_upper,肩甲上動脈は、英語の「suprascapular artery」に対応する解剖学用語です。
brachial_plexus,腕神経叢,brachial plexus,plexus brachialis,nerve,upper limb,basic_upper,腕神経叢は、英語の「brachial plexus」に対応する解剖学用語です。
circumflex_scapular_artery,肩甲回旋動脈,circumflex scapular artery,arteria circumflexa scapulae,artery,upper limb,basic_upper,肩甲回旋動脈は、英語の「circumflex scapular artery」に対応する解剖学用語です。
dorsal_scapular_artery,肩甲背動脈,dorsal scapular artery,arteria dorsalis scapulae,artery,upper limb,basic_upper,肩甲背動脈は、英語の「dorsal scapular artery」に対応する解剖学用語です。
subscapular_artery,肩甲下動脈,subscapular artery,arteria subscapularis,artery,upper limb,basic_upper,肩甲下動脈は、英語の「subscapular artery」に対応する解剖学用語です。
thoracodorsal_artery,胸背動脈,thoracodorsal artery,arteria thoracodorsalis,artery,upper limb,basic_upper,胸背動脈は、英語の「thoracodorsal artery」に対応する解剖学用語です。
circumflex_humeral_artery,上腕回旋動脈,circumflex humeral artery,arteria circumflexa humeri,artery,upper limb,basic_upper,上腕回旋動脈は、英語の「circumflex humeral artery」に対応する解剖学用語です。
internal_thoracic_artery,内胸動脈,internal thoracic artery,arteria thoracica interna,artery,thorax,basic_trunk,内胸動脈は、英語の「internal thoracic artery」に対応する解剖学用語です。
anterior_intercostal_artery,前肋間動脈,anterior intercostal artery,arteria intercostalis anterior,artery,thorax,basic_trunk,前肋間動脈は、英語の「anterior intercostal artery」に対応する解剖学用語です。
musculophrenic_artery,筋横隔動脈,musculophrenic artery,arteria musculophrenica,artery,thorax,basic_trunk,筋横隔動脈は、英語の「musculophrenic artery」に対応する解剖学用語です。
superior_epigastric_artery,上腹壁動脈,superior epigastric artery,arteria epigastrica superior,artery,thorax,basic_trunk,上腹壁動脈は、英語の「superior epigastric artery」に対応する解剖学用語です。
axillary_artery,腋窩動脈,axillary artery,arteria axillaris,artery,upper limb,basic_upper,腋窩動脈は、英語の「axillary artery」に対応する解剖学用語です。
thoracoacromial_artery,胸肩峰動脈,thoracoacromial artery,arteria thoracoacromialis,artery,upper limb,basic_upper,胸肩峰動脈は、英語の「thoracoacromial artery」に対応する解剖学用語です。
lateral_thoracic_artery,外側胸動脈,lateral thoracic artery,arteria thoracica lateralis,artery,upper limb,basic_upper,外側胸動脈は、英語の「lateral thoracic artery」に対応する解剖学用語です。
anterior_circumflex_humeral_artery,前上腕回旋動脈,anterior circumflex humeral artery,arteria circumflexa anterior humeri,artery,upper limb,basic_upper,前上腕回旋動脈は、英語の「anterior circumflex humeral artery」に対応する解剖学用語です。
